No.,Time,Source,Target,Length,Info,Payload
1462,116.207908,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1463,117.107850,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000100000004000000000106
1466,118.008077,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000100000004000000000106
1469,118.907616,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000100000004000000000106
1472,119.808236,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000004000000000105
1473,120.707942,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000400000013000000000118
1476,121.619227,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b1100000001010000000000060000001b000000000122
1477,122.508065,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b1100000001010000000000060000001c000000000123
1480,123.408090,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b1100000001010000000000060000001c000000000123
1519,124.308417,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000d0000002e00000000013c
1520,125.208278,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b1100000001010000000000550000014400000000029a
1523,126.108142,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000004200000105000000000248
1524,127.007927,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000003c000000f3000000000130
1525,127.908696,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b1100000001010000000000680000017c0000000002e5
1526,128.808319,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b1100000001010000000000890000021400000000039e
1527,129.708500,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b1100000001010000000000850000020700000000038d
